lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
jpn,149,群れ,mɯɾe̞,review
jpn,150,鶏,nʲiwäto̞ɾi,validate
jpn,151,雄鶏,o̞ndo̞ɾi,validate
jpn,152,ガチョウ,ɡät͡ɕo̞ː,validate
jpn,153,鷲,wäɕi,validate
jpn,154,鴨,kämo̞,validate
jpn,155,フクロウ,fɯkɯɾo̞ː,validate
jpn,156,鶴,t͡sɯɾɯ,validate
jpn,157,烏,käɾäsɯ,validate
jpn,158,郭公,käk̚ko̞ː,validate
jpn,159,白鳥,häkɯt͡ɕo̞ː,validate
jpn,160,魚,säkänä,validate
jpn,161,鱸,sɯzɯkʲi,review
jpn,162,川魳,käwäkämäsɯ,validate
jpn,163,蛇,he̞bʲi,validate
jpn,164,虫,mɯɕi,review
jpn,165,蜘蛛,kɯmo̞,validate
jpn,166,蟻,äɾi,validate
jpn,167,虱,ɕiɾämʲi,validate
jpn,168,蚊,kä,validate
jpn,169,蝿,häe̞,validate
jpn,170,蝶,t͡ɕo̞ː,validate
jpn,171,漿果,ɕo̞ːkä,review
jpn,172,林檎,ɾinɡo̞,validate
jpn,173,茸,kʲino̞ko̞,validate
jpn,174,玉葱,tämäne̞ɡʲi,validate
jpn,175,種,täne̞,validate
jpn,176,粒,t͡sɯbɯ,validate
jpn,177,干し草,ho̞ɕikɯsä,validate
jpn,178,皮,käwä,review
jpn,179,穴,änä,validate
jpn,180,わな,wänä,validate
jpn,181,輪,wä,validate
jpn,182,跡,äto̞,validate
jpn,183,灰,häi,validate
jpn,184,泥,do̞ɾo̞,review
jpn,185,鉄,te̞t͡sɯ,validate
jpn,186,金,kʲĩɴ,validate
jpn,187,銀,ɡʲĩɴ,validate
jpn,188,炭,sɯmʲi,validate
jpn,189,ガラス,ɡäɾäsɯ,validate
jpn,190,ローム,ɾo̞ːmɯ,validate
jpn,191,砂,sɯnä,validate
jpn,192,人,çito̞,validate
jpn,193,男,o̞to̞ko̞,validate
jpn,193,男性,dänse̞i,validate
jpn,194,女,o̞nnä,validate
jpn,194,女性,ɕo̞se̞i,validate
jpn,195,子,ko̞,validate
jpn,195,子供,ko̞do̞mo̞,validate
jpn,196,男の子,o̞to̞ko̞ no̞ ko̞,validate
jpn,197,女の子,o̞nnä no̞ ko̞,validate
jpn,198,家族,käzo̞kɯ,validate
jpn,199,祖父,so̞fɯ,validate
jpn,199,おじいさん,o̞d͡ʑiisã̈ɴ,validate
jpn,200,祖母,so̞bo̞,validate
jpn,200,おばあさん,o̞bäːsã̈ɴ,validate
jpn,201,親,o̞jä,validate
jpn,201,両親,ɾjo̞ːɕĩɴ,validate
jpn,202,父,t͡ɕit͡ɕi,validate
jpn,202,お父さん,o̞to̞ːsã̈ɴ,validate
jpn,203,母,hähä,validate
jpn,203,お母さん,o̞käːsã̈ɴ,validate
jpn,204,息子,mɯsɯko̞,validate
jpn,204,息子さん,mɯsɯko̞sã̈ɴ,validate
jpn,205,娘,mɯsɯme̞,validate
jpn,205,お嬢さん,o̞d͡ʑo̞ːsã̈ɴ,validate
jpn,206,弟,o̞to̞ːto̞,validate
jpn,207,妹,imo̞ːto̞,validate
jpn,208,伯父,o̞d͡ʑi,validate
jpn,208,伯父さん,o̞d͡ʑisã̈ɴ,validate
jpn,209,叔母,o̞bä,validate
jpn,209,叔母さん,o̞bäːsã̈ɴ,validate
jpn,210,夫,o̞t̚to̞,validate
jpn,210,主人,ɕɯd͡ʑĩɴ,validate
jpn,211,妻,t͡sɯmä,validate
jpn,211,奥さん,o̞kɯsã̈ɴ,validate
jpn,212,喜び,jo̞ɾo̞ko̞bʲi,validate
jpn,213,笑い,wäɾäi,validate
jpn,214,幸せ,ɕiäwäse̞,validate
jpn,215,悩み,näjämʲi,validate
jpn,216,希望,kʲibo̞ː,validate
jpn,217,気,kʲi,review
jpn,218,精神,se̞iɕĩɴ,validate
jpn,219,考え,känɡäe̞,validate
jpn,220,記憶,kʲio̞kɯ,validate
jpn,221,理解力,ɾikäiɾjo̞kɯ,review
jpn,222,意味,imʲi,validate
jpn,223,理由,ɾijɯː,validate
jpn,224,真実,ɕind͡ʑit͡sɯ,validate
jpn,225,会話,käiwä,validate
jpn,226,童話,do̞ːwä,validate
jpn,227,物語,mo̞no̞ɡätäɾi,validate
jpn,228,報告,ho̞ːko̞kɯ,validate
jpn,229,ニュース,nʲjɯːsɯ,validate
jpn,230,名前,nämäe̞,validate
jpn,231,謎,näzo̞,validate
jpn,232,演説,e̞nze̞t͡sɯ,validate
jpn,233,言語,ɡʲe̞nɡo̞,validate
jpn,234,声,ko̞e̞,validate
jpn,235,言葉,ko̞to̞bä,validate
jpn,236,記号,kʲiɡo̞ː,validate
jpn,237,呼び声,jo̞bʲiɡo̞e̞,validate
jpn,238,騒音,so̞ːõ̞ɴ,validate
jpn,239,音,o̞to̞,validate
jpn,240,音,o̞to̞,validate
jpn,241,歌,ɯtä,validate
jpn,242,静けさ,ɕizɯkʲe̞sä,validate
jpn,243,人々,çito̞bʲito̞,validate
jpn,244,民族,mʲinzo̞kɯ,validate
jpn,245,仕事,ɕiɡo̞to̞,validate
jpn,246,客,kʲjäkɯ,validate
jpn,247,贈り物,o̞kɯɾimo̞no̞,validate
jpn,248,遊び,äso̞bʲi,validate
jpn,249,社会,ɕäkäi,review
jpn,250,援助,e̞nd͡ʑo̞,validate
jpn,251,友達,to̞mo̞dät͡ɕi,validate
jpn,252,同志,do̞ːɕi,review
jpn,253,件,kʲẽ̞ɴ,validate
jpn,254,数,käzɯ,validate
jpn,255,種類,ɕɯɾɯi,validate
jpn,256,部分,bɯbɯ̃ɴ,review
jpn,257,部分,bɯbɯ̃ɴ,validate
jpn,258,半分,hänbɯ̃ɴ,validate
jpn,259,円,ẽ̞ɴ,validate
jpn,260,十字,d͡ʑɯːd͡ʑi,validate
jpn,261,線,sẽ̞ɴ,validate
jpn,262,線,sẽ̞ɴ,review
jpn,263,距離,kʲjo̞ɾi,review
jpn,264,距離,kʲjo̞ɾi,validate
jpn,265,辺,hẽ̞ɴ,validate
jpn,265,地域,t͡ɕiikʲi,validate
jpn,266,ゆとり,jɯto̞ɾi,review
jpn,267,所,to̞ko̞ɾo̞,validate
jpn,267,場所,bäɕo̞,validate
jpn,268,横,jo̞ko̞,validate
jpn,269,真ん中,männäkä,validate
jpn,270,物件,bɯk̚kʲẽ̞ɴ,validate
jpn,271,物,mo̞no̞,validate
jpn,272,端,häɕi,validate
jpn,273,縁,fɯt͡ɕi,validate
jpn,274,角,kädo̞,validate
jpn,275,先頭,se̞nto̞ː,validate
jpn,276,端,häɕi,review
jpn,277,穴,änä,validate
jpn,278,片隅,he̞nɡɯː,validate
jpn,279,模様,mo̞jo̞ː,validate
jpn,280,大きさ,o̞ːkʲisä,validate
jpn,281,長さ,näɡäsä,validate
jpn,282,高さ,täkäsä,validate
jpn,283,重さ,o̞mo̞sä,validate
jpn,284,量,ɾjo̞ː,review
jpn,285,堆積,täise̞kʲi,validate
jpn,286,並び,näɾäbʲi,validate
jpn,287,ボート,bo̞ːto̞,validate
jpn,288,オール,o̞ːɾɯ,validate
jpn,289,そり,so̞ɾi,validate
jpn,290,スキー,sɯkʲiː,validate
jpn,291,篝火,käɡäɾibʲi,validate
jpn,292,荷物,nʲimo̞t͡sɯ,validate
jpn,293,歩み,äjɯmʲi,validate
jpn,294,歩,ho̞,review
jpn,295,北,kʲitä,validate
jpn,296,南,mʲinämʲi,validate
jpn,297,西,nʲiɕi,validate
jpn,298,東,çiɡäɕi,validate
jpn,299,木,kʲi,validate
jpn,299,木材,mo̞kɯzäi,validate
jpn,300,板,itä,validate
jpn,301,盤,bã̈ɴ,review
jpn,302,支柱,ɕit͡ɕɯː,validate
jpn,303,棒,bo̞ː,review
jpn,304,杖,t͡sɯe̞,validate
jpn,305,棒,bo̞ː,validate
jpn,306,管,kɯdä,validate
jpn,307,家,ie̞,validate
jpn,308,家,ɯt͡ɕi,validate
jpn,309,ストーブ,sɯto̞ːbɯ,validate
jpn,310,床,jɯkä,validate
jpn,311,机,t͡sɯkɯe̞,validate
jpn,312,椅子,isɯ,validate
jpn,313,揺籃,jo̞ːɾã̈ɴ,validate
jpn,314,ベッド,be̞d̚do̞,validate
jpn,315,棚,tänä,validate
jpn,316,箱,häko̞,validate
jpn,317,窓,mädo̞,validate
jpn,318,戸,to̞,validate
jpn,318,ドア,do̞ä,validate
jpn,319,門,mõ̞ɴ,validate
jpn,320,垣根,käkʲine̞,validate
jpn,321,屋根,jäne̞,validate
jpn,322,梯子,häɕiɡo̞,validate
jpn,323,ほうき,ho̞ːkʲi,validate
jpn,324,スコップ,sɯko̞p̚pɯ,validate
jpn,325,シャベル,ɕäbe̞ɾɯ,validate
jpn,326,フォーク,fo̞ːkɯ,validate
jpn,327,スプーン,sɯpɯːn,validate
jpn,328,ナイフ,näifɯ,validate
jpn,329,釘,kɯɡʲi,validate
jpn,330,網,ämʲi,validate
jpn,331,鉤,häɾi,validate
jpn,331,フック,fɯk̚kɯ,validate
jpn,332,取っ手,to̞t̚te̞,validate
jpn,333,錠,d͡ʑo̞ː,validate
jpn,334,絵,e̞,validate
jpn,335,像,zo̞ː,validate
jpn,336,人形,nʲinɡʲjo̞ː,validate
jpn,337,袋,fɯkɯɾo̞,validate
jpn,338,束,täbä,validate
jpn,338,包み,t͡sɯt͡sɯmʲi,validate
jpn,339,かばん,käbã̈ɴ,validate
jpn,340,バケツ,bäkʲe̞t͡sɯ,validate
jpn,341,蓋,fɯtä,validate
jpn,342,食器,ɕo̞k̚kʲi,validate
jpn,343,袋,fɯkɯɾo̞,validate
jpn,344,カップ,käp̚pɯ,validate
jpn,345,鍋,näbe̞,validate
jpn,346,釜,kämä,validate
jpn,347,食事,ɕo̞kɯd͡ʑi,validate
jpn,348,食物,täbe̞mo̞no̞,validate
jpn,349,料理,ɾjo̞ːɾi,validate
jpn,350,肉,nʲikɯ,validate
jpn,351,麦,mɯɡʲi,validate
jpn,351,穀物,ko̞kɯmo̞t͡sɯ,validate
jpn,352,粥,käjɯ,validate
jpn,353,パン,pã̈ɴ,validate
jpn,354,枚,mäi,review
jpn,354,切れ,kʲiɾe̞,review
jpn,355,脂肪,ɕibo̞ː,validate
jpn,356,バター,bätäː,validate
jpn,357,油,äbɯɾä,validate
jpn,358,塩,ɕio̞,validate
jpn,359,スープ,sɯːpɯ,validate
jpn,360,蜂蜜,hät͡ɕimʲit͡sɯ,validate
