lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
eng,171,berry,ˈbeɹɪ,validate
eng,172,apple,ˈæpl,validate
eng,173,mushroom,ˈmʌʃɹʊm,validate
eng,174,onion,ˈʌnjən,validate
eng,175,seed,siːd,validate
eng,176,grain,ɡɹeɪn,validate
eng,177,hay,heɪ,validate
eng,178,husk,hʌsk,validate
eng,179,pit,pɪt,validate
eng,180,trap,tɹæp,validate
eng,181,noose,nuːs,validate
eng,182,track,tɹæk,validate
eng,183,ashes,ˈæʃɪz,validate
eng,184,filth,fɪlθ,validate
eng,185,iron,ˈaɪən,validate
eng,186,gold,ɡəʊld,validate
eng,187,silver,ˈsɪlvə,validate
eng,188,coal,kəʊl,validate
eng,189,glass,ɡlɑːs,validate
eng,190,clay,kleɪ,validate
eng,191,sand,sænd,validate
eng,192,human,ˈhjuːmən,validate
eng,193,man,mæn,validate
eng,194,woman,ˈwʊmən,validate
eng,195,child,t͡ʃaɪld,validate
eng,196,boy,bɔɪ,validate
eng,197,girl,ɡɜːl,validate
eng,198,family,ˈfæməlɪ,validate
eng,199,grandfather,ˈɡɹændˌfɑːðə,validate
eng,200,grandmother,ˈɡɹænˌmʌðə,validate
eng,201,parents,ˈpeəɹənts,validate
eng,202,father,ˈfɑːðə,validate
eng,203,mother,ˈmʌðə,validate
eng,204,son,sʌn,validate
eng,205,daughter,ˈdɔːtə,validate
eng,206,brother,ˈbɹʌðə,validate
eng,207,sister,ˈsɪstə,validate
eng,208,uncle,ˈʌŋkl,validate
eng,209,aunt,ɑːnt,validate
eng,210,husband,ˈhʌzbənd,validate
eng,211,wife,waɪf,validate
eng,212,joy,ˈd͡ʒɔɪ,validate
eng,213,laughter,ˈlɑːftə,validate
eng,214,happiness,ˈhæpɪnes,validate
eng,215,grief,ɡɹiːf,validate
eng,216,wish,wɪʃ,validate
eng,217,desire,dɪˈzaɪə,validate
eng,218,spirit,ˈspɪɹɪt,validate
eng,219,thought,θɔːt,validate
eng,220,memory,ˈmeməɹɪ,validate
eng,221,mind,maɪnd,validate
