,Semantic Domain,Concept_ID,English Word Form
61425,The body,sich erholen::V,relax
61063,The body,Kraft::N,force
61092,The body,Arzt::N,doctor
61413,The body,zittern::V,tremble
61423,The body,aufwachen::V,wake up
61422,The body,schlafen::V,sleep
61421,The body,einschlafen::V,fall asleep
61420,The body,müde werden::V,get tired
61084,The body,Tod::N,death
61085,The body,Grab::N,grave
61414,The body,leben::V,be alive
61416,The body,atmen::V,breathe
61415,The body,geboren werden::V,be born
61083,The body,Leben::N,life
61027,The body,Fett::N,fat
61066,The body,Krankheit::N,illness
61209,The body,taub::A,deaf
61218,The body,faul::A,lazy
61212,The body,schwach::A,weak
61211,The body,stark::A,strong
61493,The body,frieren::V,be cold
61229,The body,nackt::A,naked
61208,The body,blind::A,blind
61228,The body,krank::A,sick
60966,The house,Schritt::N,step
60972,The house,Brett::N,board
60975,The house,Stange::N,pole
61005,The house,Schloss::N,lock
60979,The house,Haus::N,house
60980,The house,Heim::N,home
60981,The house,Ofen::N,stove
60982,The house,Fußboden::N,floor
60983,The house,Tisch::N,table
60984,The house,Stuhl::N,chair
60986,The house,Bett::N,bed
60987,The house,Regal::N,shelf
60989,The house,Fenster::N,window
60990,The house,Tür::N,door
60991,The house,Tor::N,gate
60993,The house,Dach::N,roof
61060,The house,Kissen::N,pillow
61059,The house,Decke::N,blanket
60994,The house,Leiter::N,ladder
61627,The house,wohnen::V,dwell
60740,The physical world,Rauch::N,smoke
60739,The physical world,Staub::N,dust
60738,The physical world,Erde::N,earth
60741,The physical world,Funke::N,spark
60750,The physical world,Eis::N,ice
60743,The physical world,Licht::N,light
60744,The physical world,Schatten::N,shadow
60745,The physical world,Wetter::N,weather
60746,The physical world,Nebel::N,fog
60747,The physical world,Wolke::N,cloud
60748,The physical world,Regen::N,rain
60737,The physical world,Boden::N,ground
60749,The physical world,Schnee::N,snow
60742,The physical world,Feuer::N,fire
60736,The physical world,Boden::N,soil
61368,The physical world,untergehen[Sonne]::V,set
60734,The physical world,Wasser::N,water
61178,The physical world,frisch::A,fresh
61177,The physical world,kühl::A,cool
61367,The physical world,aufgehen[Sonne]::V,rise
60753,The physical world,Hitze::N,heat
61370,The physical world,donnern::V,thunder
61378,The physical world,brennen::V,burn
61380,The physical world,regnen::V,rain
60735,The physical world,Stein::N,stone
60727,The physical world,Himmel::N,sky
61381,The physical world,gefrieren::V,freeze
60729,The physical world,Mond::N,moon
60730,The physical world,Stern::N,star
60731,The physical world,Luft::N,air
61383,The physical world,schmelzen::V,melt
60732,The physical world,Wind::N,wind
60733,The physical world,Welle::N,wave
60728,The physical world,Sonne::N,sun
60755,The physical world,Regenbogen::N,rainbow
60942,The physical world,Gegenstand::N,item
60776,The physical world,Küste::N,coast
60767,The physical world,Anhöhe::N,elevation
60768,The physical world,Berg::N,mountain
60769,The physical world,Gipfel::N,summit
60770,The physical world,Höhle::N,cave
60771,The physical world,Abhang::N,slope
60772,The physical world,Quelle::N,source
60773,The physical world,Bach::N,brook
60774,The physical world,Fluss::N,river
60775,The physical world,Ufer::N,shore
61511,The physical world,anzünden::V,light
60777,The physical world,Festland::N,land
60779,The physical world,Bucht::N,cove
60780,The physical world,Insel::N,island
60787,The physical world,Ast::N,limb
60851,The physical world,Grube::N,pit
60855,The physical world,Asche::N,ashes
60860,The physical world,Kohle::N,coal
60863,The physical world,Sand::N,sand
61072,The physical world,Brunnen::N,well
61396,The physical world,steigen::V,rise
60778,The physical world,Meer::N,sea
60766,The physical world,Hügel::N,hill
61024,The physical world,Brei::N,mush
60765,The physical world,Wald::N,forest
60951,The physical world,Muster::N,pattern
61573,The physical world,behindern::V,hinder
60757,The physical world,Strömung::N,current
60756,The physical world,Donner::N,thunder
60971,The physical world,Holz::N,wood
60976,The physical world,Stock::N,stick
60759,The physical world,Schaum::N,foam
61398,The physical world,glänzen::V,shine
61101,The physical world,Welt::N,world
60761,The physical world,See::N,lake
60764,The physical world,Wiese::N,meadow
61579,The physical world,verbrennen::V,burn
60763,The physical world,Moor::N,moor
60762,The physical world,Sumpf::N,swamp
60937,The physical world,Gegend::N,area
61268,Time,dann::ADV,then
61269,Time,gestern::ADV,yesterday
61270,Time,einst::ADV,once
61271,Time,damals::ADV,at that time
61272,Time,danach::ADV,afterwards
61274,Time,zuerst::ADV,at first
61275,Time,einmal::ADV,once
61276,Time,manchmal::ADV,sometimes
61277,Time,oft::ADV,often
61305,Time,schon::ADV,already
61279,Time,niemals::ADV,never
61303,Time,noch::ADV,still
61273,Time,vorher::ADV,before
61278,Time,immer::ADV,always
61264,Time,jetzt::ADV,now
61267,Time,bald::ADV,soon
61266,Time,morgen::ADV,tomorrow
61265,Time,heute::ADV,today
61263,Time,später::ADV,later
61262,Time,sofort::ADV,instantly
61237,Time,alt::A,old
61261,Time,plötzlich::ADV,suddenly
61238,Time,neu::A,new
61239,Time,ehemalig::A,former
61240,Time,alt[Lebewesen]::A,aged
61241,Time,jung::A,young
61260,Time,lange::ADV,long
61306,Time,wieder::ADV,again
61258,Time,auf einmal::ADV,at once
61497,Time,anfangen::V,start
61120,Time,Schluss::N,conclusion
61365,Time,enden::V,end
61152,Time,Sonntag::N,Sunday
61133,Time,Winter::N,winter
61132,Time,Herbst::N,autumn
61131,Time,Sommer::N,summer
61130,Time,Frühling::N,spring
61129,Time,Jahr::N,year
61128,Time,Monat::N,month
61127,Time,Woche::N,week
61126,Time,Nacht::N,night
61125,Time,Abend::N,evening
61498,Time,beenden::V,finish
61124,Time,Mittag::N,noon
61119,Time,Alter::N,age
61123,Time,Morgen::N,morning
61122,Time,Tag::N,day
61121,Time,Zeit::N,time
61134,Time,Januar::N,January
61442,Time,sich beeilen::V,hurry
61135,Time,Februar::N,February
61137,Time,April::N,April
61151,Time,Samstag::N,Saturday
61150,Time,Freitag::N,Friday
61149,Time,Donnerstag::N,Thursday
61148,Time,Mittwoch::N,Wednesday
61147,Time,Dienstag::N,Tuesday
61146,Time,Montag::N,Monday
61145,Time,Dezember::N,December
61144,Time,November::N,November
61143,Time,Oktober::N,October
61142,Time,September::N,September
61141,Time,August::N,August
61140,Time,Juli::N,July
61139,Time,Juni::N,June
61364,Time,beginnen::V,begin
61138,Time,Mai::N,May
61136,Time,März::N,March
61390,Time,vergehen::V,pass
